,Absolute_Path,Label,Width,Height,Channels,Numerical
94,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0094.jpg,cat,320,480,3,0
95,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0095.jpg,cat,300,480,3,0
96,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0096.jpg,cat,319,480,3,0
97,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0097.jpg,cat,320,260,3,0
98,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0098.jpg,cat,320,480,3,0
99,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0099.jpg,cat,320,400,3,0
100,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0100.jpg,cat,320,240,3,0
101,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0101.jpg,cat,320,448,3,0
102,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0102.jpg,cat,320,480,3,0
103,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0103.jpg,cat,319,480,3,0
104,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0104.jpg,cat,300,480,3,0
105,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0105.jpg,cat,319,480,3,0
106,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0106.jpg,cat,300,480,3,0
107,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0107.jpg,cat,320,480,3,0
108,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0108.jpg,cat,300,480,3,0
109,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0109.jpg,cat,320,421,3,0
110,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0110.jpg,cat,320,427,3,0
111,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0111.jpg,cat,320,480,3,0
112,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0112.jpg,cat,320,480,3,0
113,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0113.jpg,cat,300,480,3,0
114,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0114.jpg,cat,290,480,3,0
115,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0115.jpg,cat,320,400,3,0
116,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0116.jpg,cat,319,480,3,0
117,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0117.jpg,cat,320,480,3,0
118,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0118.jpg,cat,270,480,3,0
119,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0119.jpg,cat,320,427,3,0
120,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0120.jpg,cat,320,480,3,0
121,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0121.jpg,cat,320,347,3,0
122,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0122.jpg,cat,320,477,3,0
123,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0123.jpg,cat,320,480,3,0
124,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0124.jpg,cat,320,480,3,0
125,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0125.jpg,cat,320,480,3,0
126,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0126.jpg,cat,320,480,3,0
127,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0127.jpg,cat,270,480,3,0
128,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0128.jpg,cat,320,480,3,0
129,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0129.jpg,cat,300,480,3,0
130,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0130.jpg,cat,320,480,3,0
131,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0131.jpg,cat,320,480,3,0
132,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0132.jpg,cat,320,427,3,0
133,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0133.jpg,cat,320,480,3,0
134,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0134.jpg,cat,320,480,3,0
135,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0135.jpg,cat,320,427,3,0
136,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0136.jpg,cat,270,480,3,0
137,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0137.jpg,cat,319,480,3,0
138,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0138.jpg,cat,300,480,3,0
139,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0139.jpg,cat,320,473,3,0
140,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0140.jpg,cat,320,427,3,0
141,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0141.jpg,cat,300,480,3,0
142,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0142.jpg,cat,320,457,3,0
143,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0143.jpg,cat,320,320,3,0
144,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0144.jpg,cat,320,480,3,0
145,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0145.jpg,cat,300,480,3,0
146,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0146.jpg,cat,320,480,3,0
147,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0147.jpg,cat,320,475,3,0
148,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0148.jpg,cat,306,480,3,0
149,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0149.jpg,cat,300,480,3,0
150,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0150.jpg,cat,320,480,3,0
151,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0151.jpg,cat,320,213,3,0
152,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0152.jpg,cat,320,480,3,0
153,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0153.jpg,cat,270,480,3,0
154,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0154.jpg,cat,320,479,3,0
155,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0155.jpg,cat,320,480,3,0
156,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0156.jpg,cat,270,480,3,0
157,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0157.jpg,cat,320,480,3,0
158,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0158.jpg,cat,300,480,3,0
159,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0159.jpg,cat,320,427,3,0
160,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0160.jpg,cat,320,480,3,0
161,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0161.jpg,cat,282,480,3,0
162,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0162.jpg,cat,320,480,3,0
163,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0163.jpg,cat,300,480,3,0
164,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0164.jpg,cat,320,479,3,0
165,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0165.jpg,cat,300,480,3,0
166,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0166.jpg,cat,300,480,3,0
167,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0167.jpg,cat,300,480,3,0
168,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0168.jpg,cat,318,480,3,0
169,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0169.jpg,cat,300,480,3,0
170,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0170.jpg,cat,320,320,3,0
171,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0171.jpg,cat,311,480,3,0
172,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0172.jpg,cat,320,469,3,0
173,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0173.jpg,cat,320,480,3,0
174,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0174.jpg,cat,318,480,3,0
175,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0175.jpg,cat,320,448,3,0
176,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0176.jpg,cat,320,320,3,0
177,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0177.jpg,cat,320,407,3,0
178,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0178.jpg,cat,319,480,3,0
179,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0179.jpg,cat,300,480,3,0
180,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0180.jpg,cat,300,480,3,0
181,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0181.jpg,cat,320,468,3,0
182,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0182.jpg,cat,300,480,3,0
183,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0183.jpg,cat,300,480,3,0
184,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0184.jpg,cat,270,480,3,0
185,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0185.jpg,cat,320,320,3,0
186,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0186.jpg,cat,320,480,3,0
187,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0187.jpg,cat,300,480,3,0
188,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0188.jpg,cat,300,480,3,0
189,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0189.jpg,cat,270,480,3,0
190,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0190.jpg,cat,320,427,3,0
191,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0191.jpg,cat,270,480,3,0
192,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0192.jpg,cat,300,480,3,0
193,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0193.jpg,cat,320,480,3,0
194,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0194.jpg,cat,300,480,3,0
195,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0195.jpg,cat,300,480,3,0
196,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0196.jpg,cat,320,480,3,0
197,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0197.jpg,cat,320,448,3,0
198,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0198.jpg,cat,320,480,3,0
199,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0199.jpg,cat,300,480,3,0
200,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0200.jpg,cat,320,372,3,0
201,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0201.jpg,cat,319,480,3,0
202,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0202.jpg,cat,320,395,3,0
203,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0203.jpg,cat,300,480,3,0
204,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0204.jpg,cat,320,480,3,0
205,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0205.jpg,cat,320,480,3,0
206,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0206.jpg,cat,318,480,3,0
207,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0207.jpg,cat,320,431,3,0
208,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0208.jpg,cat,320,427,3,0
209,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0209.jpg,cat,300,480,3,0
210,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0210.jpg,cat,319,480,3,0
211,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0211.jpg,cat,320,480,3,0
212,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0212.jpg,cat,320,480,3,0
213,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0213.jpg,cat,300,480,3,0
214,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0214.jpg,cat,300,480,3,0
215,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0215.jpg,cat,318,480,3,0
216,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0216.jpg,cat,300,480,3,0
217,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0217.jpg,cat,320,450,3,0
218,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0218.jpg,cat,320,480,3,0
219,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0219.jpg,cat,319,480,3,0
220,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0220.jpg,cat,320,427,3,0
221,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0221.jpg,cat,320,427,3,0
222,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0222.jpg,cat,320,480,3,0
223,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0223.jpg,cat,320,400,3,0
224,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0224.jpg,cat,300,480,3,0
225,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0225.jpg,cat,319,480,3,0
226,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0226.jpg,cat,300,480,3,0
227,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0227.jpg,cat,306,480,3,0
228,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0228.jpg,cat,320,480,3,0
229,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0229.jpg,cat,320,480,3,0
230,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0230.jpg,cat,320,480,3,0
231,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0231.jpg,cat,300,480,3,0
232,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0232.jpg,cat,320,479,3,0
233,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0233.jpg,cat,300,480,3,0
234,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0234.jpg,cat,315,480,3,0
235,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0235.jpg,cat,320,480,3,0
236,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0236.jpg,cat,270,480,3,0
237,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0237.jpg,cat,320,427,3,0
238,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0238.jpg,cat,319,480,3,0
239,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0239.jpg,cat,270,480,3,0
240,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0240.jpg,cat,320,427,3,0
241,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0241.jpg,cat,320,480,3,0
242,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0242.jpg,cat,320,480,3,0
243,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0243.jpg,cat,300,480,3,0
244,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0244.jpg,cat,319,480,3,0
245,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0245.jpg,cat,320,427,3,0
246,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0246.jpg,cat,318,480,3,0
247,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0247.jpg,cat,320,320,3,0
248,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0248.jpg,cat,274,480,3,0
249,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0249.jpg,cat,294,480,3,0
250,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0250.jpg,cat,320,480,3,0
251,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0251.jpg,cat,320,427,3,0
252,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0252.jpg,cat,320,400,3,0
253,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0253.jpg,cat,320,480,3,0
254,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0254.jpg,cat,300,480,3,0
255,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0255.jpg,cat,320,427,3,0
256,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0256.jpg,cat,320,459,3,0
257,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0257.jpg,cat,320,480,3,0
258,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0258.jpg,cat,320,400,3,0
259,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0259.jpg,cat,320,400,3,0
260,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0260.jpg,cat,320,427,3,0
261,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0261.jpg,cat,320,427,3,0
262,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0262.jpg,cat,320,480,3,0
263,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0263.jpg,cat,320,480,3,0
264,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0264.jpg,cat,300,480,3,0
265,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0265.jpg,cat,320,427,3,0
266,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0266.jpg,cat,300,480,3,0
267,C:/Users/Admin/Desktop/Study/Python/lab4/dataset\cat\0267.jpg,cat,300,480,3,0
